nazwa,komenda
poi_dun_a_04_note,additem('poi_dun_a_04_note')
poi_dun_b_08_note,additem('poi_dun_b_08_note')
poi_dun_b_08_note_b,additem('poi_dun_b_08_note_b')
poi_bar_a_08_note,additem('poi_bar_a_08_note')
poi_bar_a_09_note,additem('poi_bar_a_09_note')
poi_bar_a_09_plans,additem('poi_bar_a_09_plans')
poi_bar_a_13_note,additem('poi_bar_a_13_note')
poi_ww_cor_01_note,additem('poi_ww_cor_01_note')
poi_ww_cor_04_note,additem('poi_ww_cor_04_note')
poi_ww_ver_13_note,additem('poi_ww_ver_13_note')
poi_ww_bel_06_note,additem('poi_ww_bel_06_note')
poi_ww_bel_08_note,additem('poi_ww_bel_08_note')
NPC Laundry stick,additem('NPC Laundry stick')
NPC Ghost pole,additem('NPC Ghost pole')
Guard lvl1 steel sword 3 Autogen,additem('Guard lvl1 steel sword 3 Autogen')
scabbard_steel_3_06,additem('scabbard_steel_3_06')
Squire steel sword 3,additem('Squire steel sword 3')
Hanza steel sword 0,additem('Hanza steel sword 0')
Hanza steel sword 1,additem('Hanza steel sword 1')
Hanza steel sword 2,additem('Hanza steel sword 2')
q704_scabbard_steel_vampire,additem('q704_scabbard_steel_vampire')
scabbard_steel_vampire,additem('scabbard_steel_vampire')
q704 vampire steel sword,additem('q704 vampire steel sword')
EP2 Silver sword 1,additem('EP2 Silver sword 1')
EP2 Silver sword 1R,additem('EP2 Silver sword 1R')
EP2 Silver sword 2,additem('EP2 Silver sword 2')
EP2 Silver sword 3,additem('EP2 Silver sword 3')
EP2 Silver sword 3R,additem('EP2 Silver sword 3R')
Serpent Silver Sword 1 Autogen,additem('Serpent Silver Sword 1 Autogen')
scabbard_silver_vampire,additem('scabbard_silver_vampire')
q704 vampire silver sword,additem('q704 vampire silver sword')
mon_witch_cauldron,additem('mon_witch_cauldron')
mon_witch_broom,additem('mon_witch_broom')
Garlic,additem('Garlic')
Barghest essence,additem('Barghest essence')
Protofleder Mutagen,additem('Protofleder Mutagen')
Loot_Bottle caps,additem('Loot_Bottle caps')
Loot_Fake teeth,additem('Loot_Fake teeth')
Loot_Corkscrew,additem('Loot_Corkscrew')
Vampire Stake,additem('Vampire Stake')
Silver mirror,additem('Silver mirror')
NPC Hanza steel sword,additem('NPC Hanza steel sword')
NPC Guard lvl2 Sword,additem('NPC Guard lvl2 Sword')
sq701 Palmerin Shield,additem('sq701 Palmerin Shield')
sq701 Troy Shield,additem('sq701 Troy Shield')
sq701 Frenes Shield,additem('sq701 Frenes Shield')
sq701 Dornal Shield,additem('sq701 Dornal Shield')
sq701 Attre Shield,additem('sq701 Attre Shield')
sq701 Attre Creiqiau Shield,additem('sq701 Attre Creiqiau Shield')
sq701 Fourhorn Shield,additem('sq701 Fourhorn Shield')
sq701 Anseis Shield,additem('sq701 Anseis Shield')
sq701 Maecht Shield,additem('sq701 Maecht Shield')
sq701 Mettina Shield,additem('sq701 Mettina Shield')
NPC BoB Shield 1,additem('NPC BoB Shield 1')
NPC BoB Shield 2,additem('NPC BoB Shield 2')
NPC BoB Shield 3,additem('NPC BoB Shield 3')
NPC BoB Shield 4,additem('NPC BoB Shield 4')
NPC Dun Tynne Shield,additem('NPC Dun Tynne Shield')
NPC Hanza Shield,additem('NPC Hanza Shield')
NPC bob Guard Shield,additem('NPC bob Guard Shield')
NPC Nazairi Mace,additem('NPC Nazairi Mace')
mon_fariywitch_weapon,additem('mon_fariywitch_weapon')
scabbard_steel_wolf_ep2,additem('scabbard_steel_wolf_ep2')
scabbard_silver_wolf_ep2,additem('scabbard_silver_wolf_ep2')
bruxa_cloak,additem('bruxa_cloak')
Fancy Bowl,additem('Fancy Bowl')
Ravix of Fourhorn Crossbow,additem('Ravix of Fourhorn Crossbow')
Geralt of Rivia Crossbow,additem('Geralt of Rivia Crossbow')
Recipe for Alraune Reagent,additem('Recipe for Alraune Reagent')
mon_barghest_body,additem('mon_barghest_body')
mon_dettlaff_claws_weapon,additem('mon_dettlaff_claws_weapon')
mon_barghest_bite,additem('mon_barghest_bite')
mon_boar_charge,additem('mon_boar_charge')
mon_scolopendromorph_weapon,additem('mon_scolopendromorph_weapon')
mon_archespor_weapon,additem('mon_archespor_weapon')
mon_sharley_young_weapon,additem('mon_sharley_young_weapon')
mon_sharley_weapon,additem('mon_sharley_weapon')
mon_sharley_black_weapon,additem('mon_sharley_black_weapon')
mon_bruxa_weapon,additem('mon_bruxa_weapon')
mon_dracolizard_tail,additem('mon_dracolizard_tail')
mon_dracolizard_head_weapon,additem('mon_dracolizard_head_weapon')
mon_black_spider_ep2_weapon,additem('mon_black_spider_ep2_weapon')
mon_black_spider_large_ep2_weapon,additem('mon_black_spider_large_ep2_weapon')
mon_q701_giant_ep2_fist,additem('mon_q701_giant_ep2_fist')
mon_dettlaff_monster_weapon,additem('mon_dettlaff_monster_weapon')
mon_banshee_weapon,additem('mon_banshee_weapon')
q603_sharley_trophy,additem('q603_sharley_trophy')
Geralt Kontusz Boots R,additem('Geralt Kontusz Boots R')
Thief Boots,additem('Thief Boots')
Thief Boots Y,additem('Thief Boots Y')
Thief Boots No Medallion,additem('Thief Boots No Medallion')
Ofir Boots,additem('Ofir Boots')
Ofir Boots B,additem('Ofir Boots B')
q601_fluff_note_one,additem('q601_fluff_note_one')
q601_fluff_note_two,additem('q601_fluff_note_two')
q601_fluff_note_three,additem('q601_fluff_note_three')
q602_basics_of_medicine,additem('q602_basics_of_medicine')
q603_roberts_letter,additem('q603_roberts_letter')
q604_olgierd_letter,additem('q604_olgierd_letter')
q604_toast_cup,additem('q604_toast_cup')
ep1_poi_20_note,additem('ep1_poi_20_note')
ep1_poi_24_note,additem('ep1_poi_24_note')
ep1_poi_07_note,additem('ep1_poi_07_note')
ep1_poi_12_note,additem('ep1_poi_12_note')
ep1_poi_23_note_b,additem('ep1_poi_23_note_b')
ep1_poi_25_note,additem('ep1_poi_25_note')
ep1_poi_30_note,additem('ep1_poi_30_note')
ep1_poi_02b_note,additem('ep1_poi_02b_note')
ep1_poi_26_note2,additem('ep1_poi_26_note2')
ep1_poi_26_note3,additem('ep1_poi_26_note3')
ep1_poi_35_note,additem('ep1_poi_35_note')
ep1_poi_32_note,additem('ep1_poi_32_note')
ep1_poi_02c_note,additem('ep1_poi_02c_note')
Horse Saddle 5,additem('Horse Saddle 5')
mq6002_key,additem('mq6002_key')
Thief Pants,additem('Thief Pants')
Thief Pants Y,additem('Thief Pants Y')
Thief Pants No Medallion,additem('Thief Pants No Medallion')
Ofir Pants,additem('Ofir Pants')
Ofir Pants B,additem('Ofir Pants B')
Rune pierog schematic,additem('Rune pierog schematic')
Rune tvarog schematic,additem('Rune tvarog schematic')
Concealment Kit schematic,additem('Concealment Kit schematic')
EP1 Crafted Witcher Silver Sword schematic,additem('EP1 Crafted Witcher Silver Sword schematic')
EP1 Viper School silver sword schematic,additem('EP1 Viper School silver sword schematic')
Crafted Burning Rose Armor schematic,additem('Crafted Burning Rose Armor schematic')
Concealment Kit,additem('Concealment Kit')
Thief Gloves,additem('Thief Gloves')
Thief Gloves Y,additem('Thief Gloves Y')
Thief Gloves No Medallion,additem('Thief Gloves No Medallion')
Torch Blunt,additem('Torch Blunt')
caretaker_body,additem('caretaker_body')
Boar pelt,additem('Boar pelt')
Boar tusk,additem('Boar tusk')
q603_circus_bolt,additem('q603_circus_bolt')
q603_circus_crossbow,additem('q603_circus_crossbow')
NPC Hakland Shield,additem('NPC Hakland Shield')
NPC Hakland Spear,additem('NPC Hakland Spear')
NPC EP1 Steel Sword,additem('NPC EP1 Steel Sword')
head_5,additem('head_5')
head_5_tattoo,additem('head_5_tattoo')
head_6,additem('head_6')
head_6_tattoo,additem('head_6_tattoo')
head_7,additem('head_7')
head_7_tattoo,additem('head_7_tattoo')
Horse Hair Nilfgaardian,additem('Horse Hair Nilfgaardian')
th1009_sorry_note,additem('th1009_sorry_note')
DLC14 Skellige Pants,additem('DLC14 Skellige Pants')
DLC13 Skellige Crossbow,additem('DLC13 Skellige Crossbow')
DLC13 Elven Crossbow,additem('DLC13 Elven Crossbow')
DLC14 Skellige Boots,additem('DLC14 Skellige Boots')
DLC14 Skellige Gloves,additem('DLC14 Skellige Gloves')
DLC14 Skellige HorseBag,additem('DLC14 Skellige HorseBag')
DLC14 Skellige HorseBlinders,additem('DLC14 Skellige HorseBlinders')
Horse Hair 1 Skellige,additem('Horse Hair 1 Skellige')
DLC14 Skellige HorseSaddle,additem('DLC14 Skellige HorseSaddle')
Cursed Oil 3,additem('Cursed Oil 3')
Draconide Oil 1,additem('Draconide Oil 1')
Draconide Oil 2,additem('Draconide Oil 2')
Draconide Oil 3,additem('Draconide Oil 3')
Hanged Man Venom 1,additem('Hanged Man Venom 1')
Hybrid Oil 3,additem('Hybrid Oil 3')
Magicals Oil 1,additem('Magicals Oil 1')
Necrophage Oil 2,additem('Necrophage Oil 2')
Necrophage Oil 3,additem('Necrophage Oil 3')
Ogre Oil 1,additem('Ogre Oil 1')
Ogre Oil 2,additem('Ogre Oil 2')
Ogre Oil 3,additem('Ogre Oil 3')
Relic Oil 1,additem('Relic Oil 1')
Relic Oil 2,additem('Relic Oil 2')
Relic Oil 3,additem('Relic Oil 3')
Specter Oil 1,additem('Specter Oil 1')
Specter Oil 2,additem('Specter Oil 2')
Specter Oil 3,additem('Specter Oil 3')
Vampire Oil 1,additem('Vampire Oil 1')
Vampire Oil 2,additem('Vampire Oil 2')
Vampire Oil 3,additem('Vampire Oil 3')
Addandeith,additem('Addandeith')
Aerondight,additem('Aerondight')
Anathema,additem('Anathema')
Angivare,additem('Angivare')
Anth,additem('Anth')
Arainne,additem('Arainne')
Arbitrator_crafted,additem('Arbitrator_crafted')
Ardaenye,additem('Ardaenye')
Ashrune,additem('Ashrune')
Azurewrath,additem('Azurewrath')
Bandit Shield 01,additem('Bandit Shield 01')
Bandit Shield 02,additem('Bandit Shield 02')
Bandit Shield 04,additem('Bandit Shield 04')
Barbersurgeon,additem('Barbersurgeon')
Baron Guard Shield 01,additem('Baron Guard Shield 01')
Beannshie,additem('Beannshie')
Bear School silver sword,additem('Bear School silver sword')
Bear School silver sword 1,additem('Bear School silver sword 1')
Bear School silver sword 2,additem('Bear School silver sword 2')
Bear School steel sword,additem('Bear School steel sword')
Bear School steel sword 1,additem('Bear School steel sword 1')
Bear School steel sword 2,additem('Bear School steel sword 2')
Bear School steel sword 3,additem('Bear School steel sword 3')
Blackunicorn,additem('Blackunicorn')
Blackunicorn_crafted,additem('Blackunicorn_crafted')
Bladeofys,additem('Bladeofys')
Bloedeaedd,additem('Bloedeaedd')
Bloodsword,additem('Bloodsword')
bow_01,additem('bow_01')
bow_02,additem('bow_02')
Caerme,additem('Caerme')
Caranthil Staff,additem('Caranthil Staff')
Caranthil Staff Broken,additem('Caranthil Staff Broken')
Cheesecutter,additem('Cheesecutter')
Cleaver,additem('Cleaver')
Dancer,additem('Dancer')
Daystar,additem('Daystar')
Deargdeith,additem('Deargdeith')
Deireadh,additem('Deireadh')
Deithwen,additem('Deithwen')
Devine,additem('Devine')
Dyaebl,additem('Dyaebl')
Fate,additem('Fate')
Forgottenvransword,additem('Forgottenvransword')
Gloryofthenorth,additem('Gloryofthenorth')
Gryphon School silver sword,additem('Gryphon School silver sword')
Gryphon School silver sword 1,additem('Gryphon School silver sword 1')
Gryphon School silver sword 2,additem('Gryphon School silver sword 2')
Gryphon School silver sword 3,additem('Gryphon School silver sword 3')
Gryphon School steel sword,additem('Gryphon School steel sword')
Gryphon School steel sword 1,additem('Gryphon School steel sword 1')
Gryphon School steel sword 3,additem('Gryphon School steel sword 3')
Gwestog,additem('Gwestog')
Gwyhyr,additem('Gwyhyr')
Harpy,additem('Harpy')
Harvall,additem('Harvall')
Havcaaren,additem('Havcaaren')
Headtaker,additem('Headtaker')
Imlerith Mace,additem('Imlerith Mace')
Imlerith Shield,additem('Imlerith Shield')
Inis,additem('Inis')
Karabela,additem('Karabela')
Loathen,additem('Loathen')
Long Steel Sword,additem('Long Steel Sword')
Longclaw,additem('Longclaw')
Lune,additem('Lune')
Lynx School silver sword,additem('Lynx School silver sword')
Lynx School silver sword 1,additem('Lynx School silver sword 1')
Lynx School silver sword 2,additem('Lynx School silver sword 2')
Lynx School silver sword 3,additem('Lynx School silver sword 3')
Lynx School steel sword,additem('Lynx School steel sword')
Lynx School steel sword 1,additem('Lynx School steel sword 1')
Lynx School steel sword 2,additem('Lynx School steel sword 2')
Lynx School steel sword 3,additem('Lynx School steel sword 3')
Moonblade,additem('Moonblade')
Mourner,additem('Mourner')
Naevdeseidhe,additem('Naevdeseidhe')
Negotiator,additem('Negotiator')
Nilfgaard Shield 01,additem('Nilfgaard Shield 01')
Nilfgaard Shield 02,additem('Nilfgaard Shield 02')
Nilfgaardian sword 2,additem('Nilfgaardian sword 2')
Nilfgaardian sword 3,additem('Nilfgaardian sword 3')
No Mans Land sword 4,additem('No Mans Land sword 4')
No Mans Land sword 4_crafted,additem('No Mans Land sword 4_crafted')
Novigraadan sword 2,additem('Novigraadan sword 2')
Novigrad Shield 01,additem('Novigrad Shield 01')
Novigrad Shield 02,additem('Novigrad Shield 02')
NPC CyprianWhorenson sword,additem('NPC CyprianWhorenson sword')
NPC Eredin Sword,additem('NPC Eredin Sword')
NPC Nilfgaardian sword 1,additem('NPC Nilfgaardian sword 1')
NPC Nilfgaardian sword 3,additem('NPC Nilfgaardian sword 3')
NPC No Mans Land sword 1,additem('NPC No Mans Land sword 1')
NPC Novigraadan sword 1,additem('NPC Novigraadan sword 1')
NPC Novigraadan sword 2,additem('NPC Novigraadan sword 2')
NPC Novigraadan sword 3,additem('NPC Novigraadan sword 3')
NPC Rusty Nilfgaardian sword,additem('NPC Rusty Nilfgaardian sword')
NPC Scoiatael sword 1,additem('NPC Scoiatael sword 1')
NPC Short sword 2,additem('NPC Short sword 2')
NPC Skellige sword 2,additem('NPC Skellige sword 2')
NPC Witcher Silver Sword,additem('NPC Witcher Silver Sword')
NPC Witcher Steel Sword,additem('NPC Witcher Steel Sword')
Princessxenthiasword,additem('Princessxenthiasword')
Q1_Axe2h,additem('Q1_Axe2h')
Q1_cleaver1h,additem('Q1_cleaver1h')
Q1_Hammer2h,additem('Q1_Hammer2h')
Q1_Mage_Staff2h,additem('Q1_Mage_Staff2h')
Q1_Shield,additem('Q1_Shield')
Q1_Spear2h,additem('Q1_Spear2h')
Q1_ZoltanAxe2h,additem('Q1_ZoltanAxe2h')
Q2_axe1h,additem('Q2_axe1h')
Q2_cleaver1h,additem('Q2_cleaver1h')
Q2_mace1h,additem('Q2_mace1h')
Q2_Spear2h,additem('Q2_Spear2h')
Q3_DwarvenHammer2h,additem('Q3_DwarvenHammer2h')
q505 crafted sword,additem('q505 crafted sword')
Reachofthedamned,additem('Reachofthedamned')
Robustswordofdolblathanna,additem('Robustswordofdolblathanna')
Roseofaelirenn,additem('Roseofaelirenn')
Scoiatael sword 2_crafted,additem('Scoiatael sword 2_crafted')
Silver sword 1,additem('Silver sword 1')
Silver sword 2,additem('Silver sword 2')
Silver sword 3,additem('Silver sword 3')
Silver sword 4,additem('Silver sword 4')
Skellige Brokvar Shield 01,additem('Skellige Brokvar Shield 01')
Skellige Drummond Shield 01,additem('Skellige Drummond Shield 01')
Skellige Heymaey Shield 01,additem('Skellige Heymaey Shield 01')
Skellige sword 2,additem('Skellige sword 2')
Skellige sword 2_crafted,additem('Skellige sword 2_crafted')
Skellige sword 4_crafted,additem('Skellige sword 4_crafted')
Torlara,additem('Torlara')
Ultimatum,additem('Ultimatum')
Viper School silver sword,additem('Viper School silver sword')
Viper School steel sword,additem('Viper School steel sword')
Virgin,additem('Virgin')
Vynbleidd,additem('Vynbleidd')
Weeper,additem('Weeper')
WitcherSilverWolf,additem('WitcherSilverWolf')
Wolf,additem('Wolf')
Wooden sword,additem('Wooden sword')
Zerrikanterment,additem('Zerrikanterment')
Zireael Phantom Sword,additem('Zireael Phantom Sword')
Bear Armor,additem('Bear Armor')
Bear Armor 1,additem('Bear Armor 1')
Bear Armor 2,additem('Bear Armor 2')
Bear Armor 3,additem('Bear Armor 3')
Bear Boots 1,additem('Bear Boots 1')
Bear Boots 2,additem('Bear Boots 2')
Bear Boots 3,additem('Bear Boots 3')
Bear Boots 4,additem('Bear Boots 4')
Bear Gloves 1,additem('Bear Gloves 1')
Bear Gloves 2,additem('Bear Gloves 2')
Bear Gloves 3,additem('Bear Gloves 3')
Bear Gloves 4,additem('Bear Gloves 4')
Bear Pants 1,additem('Bear Pants 1')
Bear Pants 2,additem('Bear Pants 2')
Bear Pants 3,additem('Bear Pants 3')
Bear Pants 4,additem('Bear Pants 4')
Gloves 01_crafted,additem('Gloves 01_crafted')
Gloves 02_crafted,additem('Gloves 02_crafted')
Gloves 03_crafted,additem('Gloves 03_crafted')
Gloves 04_crafted,additem('Gloves 04_crafted')
Gryphon Armor,additem('Gryphon Armor')
Gryphon Armor 1,additem('Gryphon Armor 1')
Gryphon Armor 2,additem('Gryphon Armor 2')
Gryphon Armor 3,additem('Gryphon Armor 3')
Gryphon Boots 1,additem('Gryphon Boots 1')
Gryphon Boots 2,additem('Gryphon Boots 2')
Gryphon Boots 3,additem('Gryphon Boots 3')
Gryphon Boots 4,additem('Gryphon Boots 4')
Gryphon Gloves 1,additem('Gryphon Gloves 1')
Gryphon Gloves 2,additem('Gryphon Gloves 2')
Gryphon Gloves 3,additem('Gryphon Gloves 3')
Gryphon Gloves 4,additem('Gryphon Gloves 4')
Gryphon Pants 1,additem('Gryphon Pants 1')
Gryphon Pants 2,additem('Gryphon Pants 2')
Gryphon Pants 4,additem('Gryphon Pants 4')
Heavy armor 01_crafted,additem('Heavy armor 01_crafted')
Heavy armor 02_crafted,additem('Heavy armor 02_crafted')
Heavy armor 03_crafted,additem('Heavy armor 03_crafted')
Heavy armor 04_crafted,additem('Heavy armor 04_crafted')
Heavy gloves 01_crafted,additem('Heavy gloves 01_crafted')
Heavy gloves 02_crafted,additem('Heavy gloves 02_crafted')
Heavy gloves 03_crafted,additem('Heavy gloves 03_crafted')
Heavy gloves 04_crafted,additem('Heavy gloves 04_crafted')
Heavy pants 01_crafted,additem('Heavy pants 01_crafted')
Heavy pants 02_crafted,additem('Heavy pants 02_crafted')
Heavy pants 04_crafted,additem('Heavy pants 04_crafted')
Light armor 01_crafted,additem('Light armor 01_crafted')
Light armor 02_crafted,additem('Light armor 02_crafted')
Light armor 03_crafted,additem('Light armor 03_crafted')
Light armor 04_crafted,additem('Light armor 04_crafted')
Light armor 05_crafted,additem('Light armor 05_crafted')
Light armor 06_crafted,additem('Light armor 06_crafted')
Light armor 07_crafted,additem('Light armor 07_crafted')
Light armor 08_crafted,additem('Light armor 08_crafted')
Lynx Armor,additem('Lynx Armor')
Lynx Armor 1,additem('Lynx Armor 1')
Lynx Armor 2,additem('Lynx Armor 2')
Lynx Armor 3,additem('Lynx Armor 3')
Lynx Boots 1,additem('Lynx Boots 1')
Lynx Boots 2,additem('Lynx Boots 2')
Lynx Boots 3,additem('Lynx Boots 3')
Lynx Boots 4,additem('Lynx Boots 4')
Lynx Gloves 1,additem('Lynx Gloves 1')
Lynx Gloves 2,additem('Lynx Gloves 2')
Lynx Gloves 3,additem('Lynx Gloves 3')
Lynx Gloves 4,additem('Lynx Gloves 4')
Lynx Pants 1,additem('Lynx Pants 1')
Lynx Pants 2,additem('Lynx Pants 2')
Lynx Pants 3,additem('Lynx Pants 3')
Lynx Pants 4,additem('Lynx Pants 4')
Medium armor 01_crafted,additem('Medium armor 01_crafted')
Medium armor 02_crafted,additem('Medium armor 02_crafted')
Medium armor 03_crafted,additem('Medium armor 03_crafted')
Medium armor 04_crafted,additem('Medium armor 04_crafted')
Pants 01_crafted,additem('Pants 01_crafted')
Pants 02_crafted,additem('Pants 02_crafted')
Pants 03_crafted,additem('Pants 03_crafted')
Pants 04_crafted,additem('Pants 04_crafted')
Relic Heavy 3 crafted,additem('Relic Heavy 3 crafted')
Starting Armor 1,additem('Starting Armor 1')
Thyssen armor crafted,additem('Thyssen armor crafted')
Black Blood 2,additem('Black Blood 2')
Blizzard 2,additem('Blizzard 2')
Clearing Potion,additem('Clearing Potion')
Full Moon 3,additem('Full Moon 3')
Golden Oriole 1,additem('Golden Oriole 1')
Golden Oriole 3,additem('Golden Oriole 3')
Petri Philtre 3,additem('Petri Philtre 3')
Pheromone Potion Bear 1,additem('Pheromone Potion Bear 1')
Pheromone Potion Drowner 1,additem('Pheromone Potion Drowner 1')
Pheromone Potion Nekker 1,additem('Pheromone Potion Nekker 1')
Tawny Owl 3,additem('Tawny Owl 3')
Thunderbolt 1,additem('Thunderbolt 1')
Trial Potion Kit,additem('Trial Potion Kit')
Village drink,additem('Village drink')
White Honey 1,additem('White Honey 1')
Alkali Bomb 1,additem('Alkali Bomb 1')
Alkali Bomb 2,additem('Alkali Bomb 2')
Alkali Bomb 3,additem('Alkali Bomb 3')
Dwimeritium Bomb 1,additem('Dwimeritium Bomb 1')
Dwimeritium Bomb 2,additem('Dwimeritium Bomb 2')
Dwimeritium Bomb 3,additem('Dwimeritium Bomb 3')
Fungi Bomb 1,additem('Fungi Bomb 1')
Glue Bomb 1,additem('Glue Bomb 1')
Grapeshot 2,additem('Grapeshot 2')
Grapeshot 3,additem('Grapeshot 3')
Salt Bomb 1,additem('Salt Bomb 1')
Samum 3,additem('Samum 3')
Shrapnel Bomb 1,additem('Shrapnel Bomb 1')
Silver Dust Bomb 2,additem('Silver Dust Bomb 2')
Snow Ball,additem('Snow Ball')
Virus Bomb 1,additem('Virus Bomb 1')
Dazhbog rune,additem('Dazhbog rune')
Dazhbog rune rare,additem('Dazhbog rune rare')
Devana rune,additem('Devana rune')
Devana rune rare,additem('Devana rune rare')
Elemental rune,additem('Elemental rune')
Elemental rune rare,additem('Elemental rune rare')
Forgotten soul,additem('Forgotten soul')
Forgotten soul rare,additem('Forgotten soul rare')
Glyph aard,additem('Glyph aard')
Glyph aard greater,additem('Glyph aard greater')
Glyph aard lesser,additem('Glyph aard lesser')
Glyph axii,additem('Glyph axii')
Glyph axii greater,additem('Glyph axii greater')
Glyph axii lesser,additem('Glyph axii lesser')
Glyph igni greater,additem('Glyph igni greater')
Glyph igni lesser,additem('Glyph igni lesser')
Glyph quen,additem('Glyph quen')
Glyph quen greater,additem('Glyph quen greater')
Glyph quen lesser,additem('Glyph quen lesser')
Glyph yrden,additem('Glyph yrden')
Glyph yrden greater,additem('Glyph yrden greater')
Horse apex tail,additem('Horse apex tail')
Horse Blinder 2,additem('Horse Blinder 2')
Horse Cutscene Reins,additem('Horse Cutscene Reins')
Horse Harness 0,additem('Horse Harness 0')
Horse Saddle 0,additem('Horse Saddle 0')
Horse Saddle 2v2,additem('Horse Saddle 2v2')
Horse skinned tail,additem('Horse skinned tail')
Morana rune,additem('Morana rune')
Morana rune rare,additem('Morana rune rare')
Perun rune,additem('Perun rune')
Perun rune rare,additem('Perun rune rare')
Philosophers stone,additem('Philosophers stone')
Philosophers stone rare,additem('Philosophers stone rare')
Phosphorescent crystal,additem('Phosphorescent crystal')
Phosphorescent crystal rare,additem('Phosphorescent crystal rare')
Rune dazhbog,additem('Rune dazhbog')
Rune dazhbog greater,additem('Rune dazhbog greater')
Rune morana lesser,additem('Rune morana lesser')
Rune quentin,additem('Rune quentin')
Rune quentin greater,additem('Rune quentin greater')
Rune quentin lesser,additem('Rune quentin lesser')
Rune svarog,additem('Rune svarog')
Rune svarog greater,additem('Rune svarog greater')
Rune svarog lesser,additem('Rune svarog lesser')
Rune triglav greater,additem('Rune triglav greater')
Rune triglav lesser,additem('Rune triglav lesser')
Shattered core,additem('Shattered core')
Shattered core rare,additem('Shattered core rare')
Stribog rune,additem('Stribog rune')
Stribog rune rare,additem('Stribog rune rare')
Svarog rune,additem('Svarog rune')
Svarog rune rare,additem('Svarog rune rare')
Triglav rune,additem('Triglav rune')
Triglav rune rare,additem('Triglav rune rare')
Veles rune,additem('Veles rune')
Veles rune rare,additem('Veles rune rare')
Zoria rune,additem('Zoria rune')
Zoria rune rare,additem('Zoria rune rare')
Arbitrator schematic,additem('Arbitrator schematic')
ArmorRepairKit_1 schematic,additem('ArmorRepairKit_1 schematic')
ArmorRepairKit_2 schematic,additem('ArmorRepairKit_2 schematic')
ArmorRepairKit_3 schematic,additem('ArmorRepairKit_3 schematic')
Beannshie schematic,additem('Beannshie schematic')
Bear School steel sword Upgrade schematic 1,additem('Bear School steel sword Upgrade schematic 1')
Bear School steel sword Upgrade schematic 2,additem('Bear School steel sword Upgrade schematic 2')
Bear School steel sword Upgrade schematic 3,additem('Bear School steel sword Upgrade schematic 3')
Blackunicorn schematic,additem('Blackunicorn schematic')
Blasting powder schematic,additem('Blasting powder schematic')
Boots 1 schematic,additem('Boots 1 schematic')
Boots 3 schematic,additem('Boots 3 schematic')
Boots 7 schematic,additem('Boots 7 schematic')
Dark iron ingot schematic,additem('Dark iron ingot schematic')
Dark steel ingot schematic,additem('Dark steel ingot schematic')
Dark steel ingot schematic 1,additem('Dark steel ingot schematic 1')
Dark steel plate schematic,additem('Dark steel plate schematic')
Draconide leather schematic,additem('Draconide leather schematic')
Dwimeryte ingot schematic,additem('Dwimeryte ingot schematic')
Dwimeryte ingot schematic 1,additem('Dwimeryte ingot schematic 1')
Elven silver sword 1 schematic,additem('Elven silver sword 1 schematic')
Glyph aard greater schematic,additem('Glyph aard greater schematic')
Glyph aard lesser schematic,additem('Glyph aard lesser schematic')
Glyph aard schematic,additem('Glyph aard schematic')
Glyph axii greater schematic,additem('Glyph axii greater schematic')
Glyph axii lesser schematic,additem('Glyph axii lesser schematic')
Glyph axii schematic,additem('Glyph axii schematic')
Glyph igni lesser schematic,additem('Glyph igni lesser schematic')
Glyph igni schematic,additem('Glyph igni schematic')
Glyph infusion greater schematic,additem('Glyph infusion greater schematic')
Glyph infusion lesser schematic,additem('Glyph infusion lesser schematic')
Gnomish sword 1 schematic,additem('Gnomish sword 1 schematic')
Gryphon School silver sword schematic,additem('Gryphon School silver sword schematic')
Gryphon School silver sword Upgrade schematic 1,additem('Gryphon School silver sword Upgrade schematic 1')
Gryphon School silver sword Upgrade schematic 2,additem('Gryphon School silver sword Upgrade schematic 2')
Gryphon School silver sword Upgrade schematic 3,additem('Gryphon School silver sword Upgrade schematic 3')
Gryphon School steel sword Upgrade schematic 1,additem('Gryphon School steel sword Upgrade schematic 1')
Gryphon School steel sword Upgrade schematic 2,additem('Gryphon School steel sword Upgrade schematic 2')
Gryphon School steel sword Upgrade schematic 3,additem('Gryphon School steel sword Upgrade schematic 3')
Haft schematic,additem('Haft schematic')
Hardened leather schematic,additem('Hardened leather schematic')
Hardened timber schematic,additem('Hardened timber schematic')
Harpy schematic,additem('Harpy schematic')
Heavy Armor 1 schematic,additem('Heavy Armor 1 schematic')
Heavy Armor 2 schematic,additem('Heavy Armor 2 schematic')
Heavy Armor 3 schematic,additem('Heavy Armor 3 schematic')
Heavy Armor 4 schematic,additem('Heavy Armor 4 schematic')
Heavy Boots 7 schematic,additem('Heavy Boots 7 schematic')
Heavy Boots 8 schematic,additem('Heavy Boots 8 schematic')
Heavy Pants 3 schematic,additem('Heavy Pants 3 schematic')
Infused shard schematic,additem('Infused shard schematic')
Iron ingot schematic,additem('Iron ingot schematic')
Leather schematic,additem('Leather schematic')
Leather squares schematic,additem('Leather squares schematic')
Light Armor 4 schematic,additem('Light Armor 4 schematic')
Light Armor 5 schematic,additem('Light Armor 5 schematic')
Light Armor 6 schematic,additem('Light Armor 6 schematic')
Light Armor 7 schematic,additem('Light Armor 7 schematic')
Light Armor 8 schematic,additem('Light Armor 8 schematic')
Linen schematic,additem('Linen schematic')
Longclaw schematic,additem('Longclaw schematic')
